,platform,code,indicators
0,HOT-TM,16566,"11.5.3,11.5.1,1.5.1,13.1.1"
1,HOT-TM,11788,
2,HOT-TM,15691,"1.5.1,11.5.1,13.1.1,11.5.3,11.5.2"
3,HOT-TM,17979,
4,HOT-TM,14386,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
5,HOT-TM,18135,"11.5.1,1.5.1,13.1.1,11.5.2,11.5.3"
6,HOT-TM,17727,11.1.1
7,HOT-TM,17897,11.1.1
8,Ushahidi,f88862f1-20df-5453-9c51-38ec7d8ce893,16.1.4
9,Ushahidi,f82cea2b-30e7-5f27-aa69-49ff41acc9e3,
10,Ushahidi,e9ca2832-cf99-5956-a254-7e13ac1e81d8,
11,Mapswipe,-OASfmHx_GgWw0jIEzGw,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3,3.8.1,1.4.1"
12,Mapswipe,-Nwn2ospLqLGPixZzjqu,11.6.1
13,Mapswipe,-NPLoMfevcxe8qnAs3yk,6.3.2
14,Mapswipe,-NhbfISzxa2V8cpZSRap,"15.1.1,15.4.2,15.3.1"
15,HOT-TM,17143,"13.1.1,11.5.1,11.5.2,1.5.1,11.5.3"
16,HOT-TM,17564,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
17,HOT-TM,17728,
18,HOT-TM,14630,
19,HOT-TM,18100,"1.5.1,11.5.1,13.1.1"
20,HOT-TM,16972,
21,HOT-TM,16742,
22,Mapswipe,-O0zH8KO7JmJIg4HsW2v,
23,HOT-TM,15713,
24,HOT-TM,17901,
25,HOT-TM,18051,
26,Mapswipe,-NgEgGhjiQukm39HPJ1-,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
27,Mapswipe,-OAyqDrl4L7PZNWIB320,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
28,Mapswipe,-NJiwrYyh0arINHACXzo,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1,3.8.1"
29,Mapswipe,-Nq7_LtaPIdjz2eSVO57,
30,Mapswipe,-NgOmbe5tQAzEUGDUrOm,
31,Mapswipe,-ON_t1ETBDR2H4nqVxiA,"13.1.1,1.5.1,11.5.1,11.5.2,11.5.3"
32,Mapswipe,-NgU5zle3QwMfG48tSoJ,"13.1.1,1.5.1,11.5.1,11.5.2,11.5.3,3.8.1"
33,Mapswipe,-NL_KxfAWiIxKRtyBWjh,"13.1.1,1.5.1,11.5.1,11.5.2,11.5.3"
34,Mapswipe,-NqRxOevNxPRzo5fH104,
35,Mapswipe,-ODugpW7UMCGNvGPvfr8,"13.1.1,11.5.1,11.5.2,11.5.3"
36,Mapswipe,-O0PDKgbCqu6My6wDN4p,"13.1.1,11.5.1,11.5.2,11.5.3"
37,Mapswipe,-N8YsOpo1sHbWztzPfb0,11.1.1
38,Mapswipe,-NMdK_U-FHiBRryhpCjG,"11.5.1,11.5.2,11.5.3,13.1.1"
39,Mapswipe,-NN1r8pIeynQBL8K9N79,"11.5.1,11.5.2,11.5.3,13.1.1"
40,Mapswipe,-Nr1B-YGtcyPBV31JWoX,"11.5.1,11.5.2,11.5.3,13.1.1"
41,Mapswipe,-NN2XRM_QCDmdCQYRRfm,
42,Mapswipe,-NQ5cwxFVm2NYczYdir_,
43,Mapswipe,-MzyOngUT7wLolh_PaiA,
44,Mapswipe,-NQy_-Mvz6bDX0IV_3_g,
45,Mapswipe,-OEOoy69qHuN8VD4TnDX,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
46,Mapswipe,-O0zHIAD8f3ekcG8lN4b,
47,Mapswipe,-NenEnezzP8qUVPcUWvT,"11.5.1,11.5.2,11.5.3,13.1.1"
48,Mapswipe,-OEPVjNasf3fTYJ2_mnX,3.8.1
49,Mapswipe,-NmHieYg3kxzr7ZMAhf5,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
50,Mapswipe,-NP3InpSnSwQbwRHEPA2,
51,Mapswipe,-OC3Pk3HOPzU8Q6ws1t4,
