,index,projectId,name,difficulty,priority,percentMapped,percentValidated,status,lastUpdated,dueDate,country,organisationName,creation_date,totalArea,totalContributors,author,creation_date_datetime,concat,duplicated
0,42,17938,"Moyen-Chari (North-west),definition of levels of accessibility to health centres",MODERATE,HIGH,100,100,PUBLISHED,2025-02-27 10:59:45,2024-12-29 23:00:00,['Chad'],CartONG,2024-10-30 10:47:00,4941.65,34,Michelet,2024-10-30 10:47:00,"Moyen-Chari (North-west),definition of levels of accessibility to health centresCartONGMichelet['Chad']",FALSE
1,52,18375,Mapping for Mozambique:  Buzi 1,CHALLENGING,HIGH,100,100,PUBLISHED,2025-04-02 13:50:36,,['Mozambique'],Open Mapping Hub ESA,2025-01-27 17:41:42,1.715,9,Becky Candy,2025-01-27 17:41:42,Mapping for Mozambique:  Buzi 1Open Mapping Hub ESABecky Candy['Mozambique'],FALSE
11,89,14621,DRC waterways: Haut-Katanga 2023 (part 5/9) - Mapathon OSM Africa,MODERATE,MEDIUM,100,100,PUBLISHED,2023-08-30 11:01:17,,['Democratic Republic of the Congo'],OSM RDC,2023-04-14 19:06:08,2894.6,10,Muluba,2023-04-14 19:06:08,DRC waterways: Haut-Katanga 2023 (part 5/9) - Mapathon OSM AfricaOSM RDCMuluba['Democratic Republic of the Congo'],FALSE
13,92,14630,Cartographie de l'arrondissement de Kompa (Karimama),EASY,MEDIUM,100,100,PUBLISHED,2025-01-25 14:40:00,,['Benin'],OSM Benin,2023-04-15 12:28:03,1.283,17,Kpogbe,2023-04-15 12:28:03,Cartographie de l'arrondissement de Kompa (Karimama)OSM BeninKpogbe['Benin'],FALSE
14,170,15608,"ESA For Cities - Kinshasa 02 , DRC",MODERATE,MEDIUM,100,100,PUBLISHED,2025-02-16 14:48:57,,['Democratic Republic of the Congo'],Open Mapping Hub ESA,2023-10-01 14:51:09,22.242,44,Shamillah Nassozi,2023-10-01 14:51:09,"ESA For Cities - Kinshasa 02 , DRCOpen Mapping Hub ESAShamillah Nassozi['Democratic Republic of the Congo']",FALSE
15,175,15713,Projet WC-DR-SIDS Îles du Saloum - REFEPAS/NDAGANE CAMPEMENT - NDAGANE SAMBOU,MODERATE,MEDIUM,100,100,PUBLISHED,2025-02-08 10:50:23,,['Senegal'],OSM Sénégal,2023-10-24 23:44:19,4.702,7,Mohamet Lamine Ndiaye,2023-10-24 23:44:19,Projet WC-DR-SIDS Îles du Saloum - REFEPAS/NDAGANE CAMPEMENT - NDAGANE SAMBOUOSM SénégalMohamet Lamine Ndiaye['Senegal'],FALSE
16,213,16348,MAPPING THE UNMAPPED AREAS IN MOROGORO REGION.,MODERATE,MEDIUM,100,100,PUBLISHED,2025-03-28 5:14:31,,['Tanzania'],GeoTE Tanzania,2024-03-14 7:23:14,154.08,59,KIARIRO EZEKIEL EDGAR,2024-03-14 7:23:14,MAPPING THE UNMAPPED AREAS IN MOROGORO REGION.GeoTE TanzaniaKIARIRO EZEKIEL EDGAR['Tanzania'],FALSE
17,378,17127,Mapping Eswatini for Resilient efforts_Piggs_Peak,MODERATE,MEDIUM,100,100,PUBLISHED,2025-02-19 8:45:31,,['Eswatini'],National Disaster Management Agency Eswatini,2024-07-09 12:44:00,13.599,18,Sibusiso Ginindza,2024-07-09 12:44:00,Mapping Eswatini for Resilient efforts_Piggs_PeakNational Disaster Management Agency EswatiniSibusiso Ginindza['Eswatini'],FALSE
23,525,18204,"Missing Maps (Water): Bas-Saint-Laurent Region, Quebec, Canada",EASY,MEDIUM,100,100,PUBLISHED,2025-02-23 23:30:42,,['Canada'],Canadian Red Cross,2024-12-05 14:54:22,102.91,104,Sophia Chen,2024-12-05 14:54:22,"Missing Maps (Water): Bas-Saint-Laurent Region, Quebec, CanadaCanadian Red CrossSophia Chen['Canada']",FALSE
25,576,18523,Tanzania - Mapping Missing Buildings in Nachingwea,MODERATE,MEDIUM,100,100,PUBLISHED,2025-03-25 11:02:13,,['Tanzania'],GeoTE Tanzania,2025-03-16 16:23:07,42.784,43,ERICK TAMBA MNYALI,2025-03-16 16:23:07,Tanzania - Mapping Missing Buildings in NachingweaGeoTE TanzaniaERICK TAMBA MNYALI['Tanzania'],FALSE
